Year,Fuel Type,Generation (GWh)
2001,all fuels,3736643.653
2002,all fuels,3858452.254
2003,all fuels,3883185.205
2004,all fuels,3970555.26328
2005,all fuels,4055422.74967
2006,all fuels,4064702.22741
2007,all fuels,4156744.72385
2008,all fuels,4119387.75955
2009,all fuels,3950330.92649
2010,all fuels,4125059.89892
2011,all fuels,4100140.92612
2012,all fuels,4047765.26668
2013,all fuels,4065964.06746
2014,all fuels,4093537.98381
2015,all fuels,4077527.87955
2016,all fuels,4076609.81252
2017,all fuels,4034182.85783
2018,all fuels,4178277.34373
2019,all fuels,4127855.21341
2020,all fuels,4007135.46678
2021,all fuels,4109699.38984
2022,all fuels,4230667.56322
2023,all fuels,4183270.6723
2024,all fuels,4304038.7169
