Year,Coal (TWh),Gas (TWh),Renewables (TWh),Coal CO₂ (Mt),Gas CO₂ (Mt),Other CO₂ (Mt),Total CO₂ (Mt),Total Electricity (TWh),Emissions_Intensity (Mt/TWh)
1965,3224.244,4159.206,630.852,1090.619,782.605,11.149,3399.547,8014.302000000001,0.42418503819796155
1966,3380.846,4482.756,636.029,1132.718,842.207,12.029,3571.421,8499.631000000001,0.4201854174610638
1967,3316.997,4733.188,716.695,1163.049,881.284,11.956,3705.461,8766.88,0.42266587429051156
1968,3433.077,5066.815,724.112,1139.603,936.361,12.396,3840.919,9224.003999999999,0.4164047413682822
1969,3447.238,5454.107,808.64,1158.0,1018.083,13.423,4035.145,9709.984999999999,0.4155665533983833
1970,3414.659,5748.658,801.203,1168.091,1059.211,13.13,4339.686,9964.52,0.43551380297294795
1971,3229.201,5926.526,857.785,1107.406,1096.927,13.056,4365.465,10013.511999999999,0.435957434314754
1972,3362.425,5986.964,883.217,1124.841,1115.673,13.496,4573.015,10232.606,0.4469061937887573
1973,3611.49,5937.959,885.749,1220.714,1175.252,14.083,4785.434,10435.198,0.45858583612884013
1974,3525.567,5732.247,972.856,1199.352,1134.594,14.377,4621.419,10230.67,0.45172202798057215
1975,3525.541,5261.532,967.322,1195.102,1042.853,12.763,4478.563,9754.395,0.45913283191833015
1976,3782.042,5366.39,927.683,1281.249,1063.161,13.496,4748.111,10076.115000000002,0.4712243756646286
1977,3876.157,5256.951,741.652,1315.802,1041.406,13.276,4889.953,9874.76,0.4951971490952692
1978,3832.577,5275.385,924.338,1314.266,1045.577,13.57,4941.708,10032.3,0.4925797673514548
1979,4187.284,5450.898,926.274,1427.55,1080.846,13.936,5008.956,10564.456,0.4741328848357171
1980,4293.98,5337.385,917.075,1453.891,1058.408,12.616,4808.877,10548.44,0.4558851356219498
1981,4428.934,5208.629,873.338,1503.037,1032.434,12.543,4686.743,10510.901,0.4458935537495787
1982,4265.796,4841.709,1015.499,1449.193,961.223,9.389,4447.602,10123.004,0.4393559461203413
1983,4425.291,4542.236,1094.357,1504.91,901.395,9.902,4429.711,10061.884,0.44024667746119917
1984,4752.76,4851.572,1079.445,1616.224,962.574,10.562,4662.488,10683.777,0.43640821031738125
1985,4866.301,4669.541,961.936,1655.15,926.826,10.416,4652.938,10497.778,0.4432307484498148
1986,4805.599,4376.204,997.901,1635.859,868.157,9.609,4663.711,10179.704,0.4581381737622234
1987,5013.868,4652.744,887.461,1709.615,923.281,10.489,4826.013,10554.073,0.45726545571553273
1988,5247.144,4866.021,806.846,1792.863,964.695,11.369,5050.858,10920.011,0.46253231796195077
1989,5309.355,5170.197,969.918,1813.282,1027.299,11.443,5132.543,11449.47,0.44827778054355355
1990,5337.998,5170.636,1068.089,1814.537,1023.425,24.55,5120.957,11576.723,0.4423494455209821
1991,5287.613,5283.973,1066.569,1797.157,1042.436,24.308,5062.957,11638.154999999999,0.4350308962202343
1992,5324.031,5463.51,976.22,1817.281,1080.4,24.159,5174.228,11763.761,0.43984470612757265
1993,5522.453,5599.419,1069.254,1879.596,1109.23,23.523,5272.851,12191.126,0.4325155034899975
1994,5543.144,5731.081,1013.514,1894.402,1137.428,24.668,5364.279,12287.739,0.4365554151174598
1995,5593.054,5979.83,1159.149,1913.401,1186.511,27.612,5425.259,12732.033,0.4261109753642643
1996,5847.301,6088.898,1262.743,1993.564,1206.587,28.923,5612.983,13198.942000000001,0.42526007008743577
1997,5970.778,6125.315,1296.721,2038.751,1214.128,28.946,5688.142,13392.814,0.42471597081838064
1998,6029.338,6021.791,1198.005,2062.838,1191.097,29.949,5733.281,13249.134000000002,0.43272873532715417
1999,6020.095,6042.628,1190.098,2063.366,1197.931,30.122,5803.918,13252.821,0.4379383076252218
2000,6286.536,6283.907,1069.079,2163.591,1251.388,26.957,6010.136,13639.521999999999,0.44064124827834883
2001,6101.316,6006.58,886.572,2099.728,1198.855,26.599,5907.74,12994.468,0.4546350031413367
2002,6098.454,6201.112,1055.992,2103.809,1237.821,26.914,5946.308,13355.557999999999,0.445230966763051
2003,6214.537,6021.901,1102.699,2144.086,1201.066,25.747,6010.146,13339.137,0.45056483039345047
2004,6254.982,6046.277,1103.206,2164.412,1204.871,27.555,6112.655,13404.465,0.4560163348555873
2005,6346.957,5951.93,1135.401,2188.337,1186.902,28.765,6132.183,13434.288,0.45645761055591483
2006,6249.683,5865.778,1249.168,2152.56,1173.252,30.42,6052.686,13364.628999999999,0.4528884415721529
2007,6333.85,6241.383,1183.502,2175.033,1247.321,29.355,6130.123,13758.735,0.4455440852665597
2008,6233.055,6288.912,1321.477,2135.89,1252.606,28.436,5915.119,13843.444000000001,0.4272866636365921
2009,5482.376,6176.281,1456.122,1872.386,1231.696,25.629,5480.726,13114.778999999999,0.4179045640037091
2010,5800.542,6481.935,1515.733,1982.954,1290.495,30.836,5679.715,13798.210000000001,0.41162694291505925
2011,5473.071,6582.108,1774.409,1873.284,1310.707,29.64,5546.116,13829.588,0.40103262656848493
2012,4838.405,6881.228,1724.88,1658.491,1372.072,30.712,5344.086,13444.512999999999,0.3974919731194429
2013,5022.271,7070.228,1835.576,1720.408,1410.482,30.847,5480.157,13928.075,0.39346119259122314
2014,5010.856,7222.605,1888.077,1710.594,1435.209,32.385,5528.681,14121.537999999999,0.3915070015744744
2015,4329.078,7435.795,1922.98,1479.145,1476.136,31.237,5376.473,13687.853,0.3927915502891506
2016,3960.741,7490.989,2131.185,1347.943,1481.873,28.577,5252.932,13582.914999999999,0.38673083060594876
2017,3852.593,7399.922,2344.897,1308.716,1460.656,27.804,5212.162,13597.412,0.38332014945196924
2018,3689.459,8219.633,2399.24,1256.631,1619.275,24.686,5377.797,14308.332,0.3758507280932536
2019,3150.46,8509.999,2475.22,1071.666,1675.471,24.677,5262.145,14135.678999999998,0.3722597973539157
2020,2556.181,8345.496,2590.245,877.92,1656.255,24.472,4714.628,13491.921999999999,0.34944079872385864
2021,2936.894,8364.249,2726.014,1004.759,1659.128,24.837,5032.213,14027.157,0.3587478916789767
2022,2752.975,8795.866,2993.056,942.357,1748.499,24.837,5078.871,14541.897,0.3492578031600691
2023,2276.868,8864.672,3052.564,776.767,1755.923,24.837,4911.391,14194.104000000001,0.34601627549016123
