Year,location,stateDescription,sectorid,sectorDescription,fueltypeid,fuelTypeDescription,generation,generation-units
2001,US,U.S. Total,99,All Sectors,ALL,all fuels,3736643.653,thousand megawatthours
2002,US,U.S. Total,99,All Sectors,ALL,all fuels,3858452.254,thousand megawatthours
2003,US,U.S. Total,99,All Sectors,ALL,all fuels,3883185.205,thousand megawatthours
2004,US,U.S. Total,99,All Sectors,ALL,all fuels,3970555.26328,thousand megawatthours
2005,US,U.S. Total,99,All Sectors,ALL,all fuels,4055422.74967,thousand megawatthours
2006,US,U.S. Total,99,All Sectors,ALL,all fuels,4064702.22741,thousand megawatthours
2007,US,U.S. Total,99,All Sectors,ALL,all fuels,4156744.72385,thousand megawatthours
2008,US,U.S. Total,99,All Sectors,ALL,all fuels,4119387.75955,thousand megawatthours
2009,US,U.S. Total,99,All Sectors,ALL,all fuels,3950330.92649,thousand megawatthours
2010,US,U.S. Total,99,All Sectors,ALL,all fuels,4125059.89892,thousand megawatthours
2011,US,U.S. Total,99,All Sectors,ALL,all fuels,4100140.92612,thousand megawatthours
2012,US,U.S. Total,99,All Sectors,ALL,all fuels,4047765.26668,thousand megawatthours
2013,US,U.S. Total,99,All Sectors,ALL,all fuels,4065964.06746,thousand megawatthours
2014,US,U.S. Total,99,All Sectors,ALL,all fuels,4093537.98381,thousand megawatthours
2015,US,U.S. Total,99,All Sectors,ALL,all fuels,4077527.87955,thousand megawatthours
2016,US,U.S. Total,99,All Sectors,ALL,all fuels,4076609.81252,thousand megawatthours
2017,US,U.S. Total,99,All Sectors,ALL,all fuels,4034182.85783,thousand megawatthours
2018,US,U.S. Total,99,All Sectors,ALL,all fuels,4178277.34373,thousand megawatthours
2019,US,U.S. Total,99,All Sectors,ALL,all fuels,4127855.21341,thousand megawatthours
2020,US,U.S. Total,99,All Sectors,ALL,all fuels,4007135.46678,thousand megawatthours
2021,US,U.S. Total,99,All Sectors,ALL,all fuels,4109699.38984,thousand megawatthours
2022,US,U.S. Total,99,All Sectors,ALL,all fuels,4230667.56322,thousand megawatthours
2023,US,U.S. Total,99,All Sectors,ALL,all fuels,4183270.6723,thousand megawatthours
2024,US,U.S. Total,99,All Sectors,ALL,all fuels,4304038.7169,thousand megawatthours
